account,owner,MNGO,BTC,ETH,SOL,USDT,SRM,RAY,COPE,FTT,ADA,MSOL,BNB,AVAX,LUNA,GMT,USDC
5W3Pfi2PCKihqJfufrNYBxC4nzQZzhjZm4X4s3kZDEi,9ihJKCQy3MtZorf8GTxMJRFC7cwdCwPtWjtoRVF9C5Ut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1340370289
5XDyfEqch3uEvQdrAayDngQEZKfUtNgcpPRG7CfLSyH,DcyHzF5y4Dj7JqpFTPHF2h5xKVDsJmKULpLgt7AtAZPD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5YEfRiEc9seAkk32cVKubVxNzuS9ZpMDfMAw3dboNin,5unTfT2kssBuNvHPY6LbJfJpLqEcdMxGYLWHwShaeTLi,0,0,0,100325016,0,0,0,0,0,0,0,0,0,0,0,1687888
5cGPZcUPvpaVWwZcvfy3MSVs84fw6YEBWLHQbNab4LB,5jwisvdyMnHYh5i2eX6qBYYesxocrSNQ2vQt68gHtnP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2608
5gLgJLkqL4HEdviAMmA6vpaS3JNned1bt7wyeqVJ6de,EsxePrapisg7r44u5GCGhXE7zPB82h8crw1QCLWJ3i2J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174875
5jh9izM6NkhjWHuDDhrpWyHWUHoZF97EKANbNRjTLV3,6jjDrBcr2KPacxhMi8ubWdGfdWBq1fTWuN3FfmvqhsqS,19380,0,0,994,0,0,182670,0,0,0,0,0,0,0,0,38
5kV8qTqm9wXx9QkNWt2wGuEcyERP3FnAnp3kUwgaVDy,8WrK1DXcdNrgXukAmsEGosakm4hNHueHb4P13VYXQYzQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5nZoiEpqFJyVjNjJhNfpHMaes18pxG4HpM3Du191n7h,DwmePe5umSWvsuQWqcZnbAu75Bm4B1XZCNrMGDxhVEgi,0,0,0,9027677,0,0,0,0,0,0,0,0,0,0,0,9
5scjdXwhpuQxHdZMKUANhem1tyt3bG6bypz36ze5JqJ,G9H3N3Wir7Tw4uZ59GijwWxuUjyZipjgdbT4LcWzig1z,0,0,0,172033,0,0,0,0,0,0,0,0,0,0,0,44
5tgZFfJu5uWWU3rrp3XbPK6qJFU6QkPNs9zjfZbPPWf,ELDsf24oh94gRAFs4VRs8oGN4MfZCJQQX9kdPp166Yze,16818256,0,674,0,963705,0,328,0,0,0,0,0,104,0,0,37791
5uQS9YnjXn8i1VBimoDbAJqeHBWF1T6QC4BoWxN8z79,GXeg8h1WvJanzFiWA3NBd6Go6TNDLzkNKuiECX2bQT4e,1283,0,0,2309,0,0,0,0,0,0,0,0,0,0,0,4
5xRgmmDLxKXFCNDDYDyRmqP8VRnZ2Z9Ap87ZD9edgpE,BZwYctJb8Qutdkxood5qSwkVowK39KL2gzjM2rMF4nw4,0,0,0,35167318,0,0,0,0,0,0,0,0,0,0,0,0
5y1U5wnuCtt6VjiexEzRQn8XNVtNsrqpRRsWxmEqafq,Cow1sYTSGeEZfEtozVGhenGZ3VVuvEE8xP5heuYhgrXt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
5yaAmcumUcdSSu2EHhBEP2jZLNnL8NLCnR2gVtZoak9,DGUkfHfryY55TPXXYpiAdHi45i56jQSDVcqGWDpbMBtx,42155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6166
61a87vmZYv4pHR4qSx3FAM8TSTP9P1ajfHsiLm865Tb,EWL52qL418p1sQF4XNgC4uDZN7YntqCiSYwQpbH3vEho,0,0,0,3861706,0,0,0,0,0,0,0,0,0,0,0,0
62kEeNsDubXDkspuzsZT3XD7D5tCsy1tghGXsWTS92F,2YegYgPMZFrqppGLoGDi1aexPeLiExegLkSg8irexQ7t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63U9oqofqs3xmyrmtK6bHhNfUm92MbtYrwkk4SEfaEH,CGA94DcUanyxUVP1YhdZbDYMWAQEjPwgUQ8XmmpUJfkz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67U8p7nSzu8S5WBJqjcn1rjmFZ2X9zEuKN9uSvDuYZV,F6CfMFzHFiT3fkYnXTqBBwwX4v24zj7PxSPooJtSS6si,967473,0,0,2700769,0,0,0,0,0,0,0,0,0,0,0,0
68CULUFHkLzRx9DrPGBPw27ZjJ2qhwrUpB46ioevMJD,A2h8eTTkyDkVkGTjq6SvvKRFvQ7qDCkYX8Bqygq5Gtem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
68pCoZVZvjFxjy7RGVHePHFiGntXvXe7D4L9HuATNRM,FGioJw8Ajm99iNPd7WxDih7yUq8PFfawBsAp6PZBB5uk,2512541,0,0,313468473,0,0,0,0,0,0,0,0,0,0,0,1253948
6EUgVcF1A9vYNddcqoTtJuMsbm88Thh1psCFb1EJfBo,DUk22x65hYmh5q6tyXQ4Z6gQfVPcxx7YbBLWZ3L562RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
6FdzhkAL9yanuJTNBwghDwfj54QHwRUszRyrCTA32NR,6C96dzkWtrm716U237Ac4DQnzDuhUAcyER2SBPsXTY8Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6HoJRtFW8jRYGGWQHG7MAocPNrAk2qLH9ugGhA9TWHx,4MRMagBbMEH24NvUUCHG5FHxRCwpNp2iLTqCk5TxrFES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91014
6HrXWYFTLaaDtch23nfNXsFMZ4K2Xk8pejHRx4LvPod,81k2YxUAVT7Txk6XR3Ub3hHdj6wQWEkRQcAZ1egnQHns,0,0,0,38184477,0,0,0,0,0,0,0,0,0,0,0,0
6JbVX8frUqPeAHT2qbM3v7EnV7ycwTJh6TJqcyk93dH,3AgQPQoGy3kerUTMiHUKZirBqfHwdNFdea9ZHGJxvT6N,953766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6JoSJRptCczb89ZRxYrNRBhYCiBVJwhv1io5yBC12G6,9jeu7fFVyBmBHviybyHY8X3YUVxGJ83n3nUgF7EbAef4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
6PiYetANZXhHeqoRcU7dfeWchFUcYiJ2fTK3miKoQD4,AcTCq8z5tVKMGqJods7R7TddpYSsWcCFgxYfZkNTPBKd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
6RDg8VneeKjkKvugqiULPCyw7PwcrAsCToEef3v6R7G,GFanrt5qscdqKreVNRF9Lc7hHyydb4GNjcGr8RRUpA3X,1390022386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6UtKdaKJCVhdZ3hKBHJW3ecgvmvkoZAC8pr1qAyDeeJ,56qNCSzrHK424ckMvWg2V9LZuuv3qRBQ71gDhzpmWaza,0,0,0,6023252,0,0,0,0,0,0,0,0,0,0,0,0
6X2P2go96YvbyuGgJehSqVBaoj6LoX8sFciDh1W358m,BXLrBcgmcWCdgbDfRwtKBkg1xcDPs2JzjXPfQ1wAecuW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225218
6ZwxFpwgTzU1DFieVRnxenBFhTmjr93j779oMeGX22R,AAo235WfT13R4xMtFa2f9CiJESe9moH3pmdMan5GVt7A,41,0,0,2204833226,0,0,0,0,0,0,0,0,0,0,0,140647526
6dgmCqqArqvisGA7iBtXLt7a5tWRte7wMMHUxee4aaE,ASNfGyibDdiEhT67Ngo3x2ScsLS5ZKHyqHDsetaNZKSF,1490,0,0,363391597,0,0,0,0,0,0,0,0,0,0,0,115432167
6feeHnmJWBESKNKBSjRPdjxiA2SRNtRKHCyKZ1E3BVT,RkSMD21ZBNoH47NSBJYByFysTxRqeBJbb4yVahyRSWi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8085788
6fo2DVwDGLATxVpqvnQLh7a1V1izfTJgSbt27xJiR8C,4b7wmaszyY1u53rofqUY8UzoghxEvFW3oJpCRD9UD2xF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124
6gXT7BjuB2v2J4wxr3ijXaS97Zz6XDtwnqj6umPnGpW,8kkRdiSGLs2z4mFziUq6sTRUSKuatK8nstrG46dAJoBX,249912,0,0,35454297,0,0,0,0,0,0,0,0,0,0,0,6639698
